Team1,Team2,Toss,Match days,Winner,Player of the Match,Margin,Ground,Match Date,ODI Int Match,Team1 Avg Batting Ranking,Team2 Avg Batting Ranking,Team1 Avg Bowling Ranking,Team2 Avg Bowling Ranking,Team1 Total CTs participated,Team1 Total CTs won,Team2 Total CTs participated,Team2 Total CTs won,Team1 W/L ratio over Team2
New Zealand,Pakistan,"Pakistan, elected to bat first",day,New Zealand,Shayne O'Connor,4 wickets,Nairobi (Gym),"Oct 11, 2000",ODI # 1637,64,68.21,74.21,66.21,1,0,1,0,0.58
England,South Africa,"England, elected to bat first",day,South Africa,Jacques Kallis,8 wickets,Nairobi (Gym),"Oct 10, 2000",ODI # 1636,74.93,65.29,83.93,67.5,1,0,1,1,0.466
New Zealand,Zimbabwe,"Zimbabwe, elected to field first",day,New Zealand,Roger Twose,64 runs,Nairobi (Gym),"Oct 9, 2000",ODI # 1635,63.86,76.08,74.79,75.31,1,0,0,0,2.8
Pakistan,Sri Lanka,"Sri Lanka, elected to bat first",day,Pakistan,Saeed Anwar,9 wickets,Nairobi (Gym),"Oct 8, 2000",ODI # 1634,69.07,65.93,66.79,75.93,1,0,1,0,1.857
Australia,India,"Australia, elected to field first",day,India,Yuvraj Singh,20 runs,Nairobi (Gym),"Oct 7, 2000",ODI # 1633,57.21,75.57,73.64,71.79,1,0,1,0,1.636
Bangladesh,England,"Bangladesh, elected to bat first",day,England,Alec Stewart,8 wickets,Nairobi (Gym),"Oct 5, 2000",ODI # 1632,96,75.13,98.36,84.27,0,0,1,0,0
Sri Lanka,West Indies,"West Indies, elected to field first",day,Sri Lanka,Avishka Gunawardene,108 runs,Nairobi (Gym),"Oct 4, 2000",ODI # 1631,67.5,82.71,76.07,88.86,0,0,1,0,0.428
Kenya,India,"India, elected to field first",day,India,Anil Kumble,8 wickets,Nairobi (Gym),"Oct 3, 2000",ODI # 1630,95.08,75.43,91.15,71.36,0,0,1,0,0.2
Sri Lanka,India,"Sri Lanka, elected to bat first",daynight,no result,,,Colombo (RPS),"Sep 30, 2002",ODI # 1889,59,57.38,70.91,65.46,2,0,2,0,0.743
Sri Lanka,India,"Sri Lanka, elected to bat first",daynight,no result,,,Colombo (RPS),"Sep 29, 2002",ODI # 1888,59.09,57.46,69.55,65.92,2,0,2,0,0.743
Sri Lanka,Australia,"Australia, elected to bat first",daynight,Sri Lanka,Aravinda de Silva,7 wickets,Colombo (RPS),"Sep 27, 2002",ODI # 1887,59.64,57.42,71.09,68,2,0,2,0,0.464
India,South Africa,"India, elected to bat first",daynight,India,Virender Sehwag,10 runs,Colombo (RPS),"Sep 25, 2002",ODI # 1886,58.38,61.93,66,69.47,2,0,2,1,0.518
Bangladesh,New Zealand,"Bangladesh, elected to field first",daynight,New Zealand,Shane Bond,167 runs,Colombo (SSC),"Sep 23, 2002",ODI # 1885,98.07,76.42,95.43,70.67,1,0,2,1,0
England,India,"England, elected to bat first",daynight,India,Virender Sehwag,8 wickets,Colombo (RPS),"Sep 22, 2002",ODI # 1884,75.83,59.54,88,66.77,2,0,2,0,1.095
Netherlands,Pakistan,"Netherlands, elected to bat first",day,Pakistan,Shahid Afridi,9 wickets,Colombo (SSC),"Sep 21, 2002",ODI # 1883,101,67.09,101,61.09,0,0,2,0,0
Kenya,South Africa,"South Africa, elected to bat first",daynight,South Africa,Herschelle Gibbs,176 runs,Colombo (RPS),"Sep 20, 2002",ODI # 1882,93.67,61.87,88.75,69.27,1,0,2,1,0
Australia,Bangladesh,"Bangladesh, elected to bat first",day,Australia,Jason Gillespie,9 wickets,Colombo (SSC),"Sep 19, 2002",ODI # 1881,57.5,98,68.5,95.07,2,0,1,0,2
England,Zimbabwe,"England, elected to bat first",daynight,England,Marcus Trescothick,108 runs,Colombo (RPS),"Sep 18, 2002",ODI # 1880,75.58,69.92,89.08,83.67,2,0,2,0,2
Kenya,West Indies,"West Indies, elected to bat first",day,West Indies,Brian Lara,29 runs,Colombo (SSC),"Sep 17, 2002",ODI # 1879,93.5,60.36,88.67,75.45,1,0,2,0,0.333
Sri Lanka,Netherlands,"Sri Lanka, elected to bat first",daynight,Sri Lanka,Marvan Atapattu,206 runs,Colombo (RPS),"Sep 16, 2002",ODI # 1878,59.55,101,70.55,101,2,0,0,0,2
Australia,New Zealand,"Australia, elected to bat first",day,Australia,Glenn McGrath,164 runs,Colombo (SSC),"Sep 15, 2002",ODI # 1877,57.75,76.67,68.67,71,2,0,2,1,2.24
India,Zimbabwe,"India, elected to bat first",daynight,India,Mohammad Kaif,14 runs,Colombo (RPS),"Sep 14, 2002",ODI # 1876,60,70.5,66.92,84.17,2,0,2,0,4
South Africa,West Indies,"South Africa, elected to field first",day,South Africa,Jonty Rhodes,2 wickets,Colombo (SSC),"Sep 13, 2002",ODI # 1875,61.93,60.64,69,76.27,2,1,2,0,2.125
Sri Lanka,Pakistan,"Pakistan, elected to bat first",daynight,Sri Lanka,Sanath Jayasuriya,8 wickets,Colombo (RPS),"Sep 12, 2002",ODI # 1874,59.45,67.82,70.73,60.09,2,0,2,0,0.586
England,West Indies,"West Indies, elected to field first",day,West Indies,Ian Bradshaw,2 wickets,The Oval,"Sep 25, 2004",ODI # 2182,64.27,67.71,70.36,77.21,3,0,3,0,0.805
Pakistan,West Indies,"Pakistan, elected to bat first",day,West Indies,Ramnaresh Sarwan,7 wickets,Southampton,"Sep 22, 2004",ODI # 2181,57.75,67.71,67.83,78.14,3,0,3,0,0.805
England,Australia,"England, elected to field first",day,England,Michael Vaughan,6 wickets,Birmingham,"Sep 21, 2004",ODI # 2180,65.55,51.75,70.36,62,3,0,3,0,0.704
India,Pakistan,"Pakistan, elected to field first",day,Pakistan,Mohammad Yousuf,3 wickets,Birmingham,"Sep 19, 2004",ODI # 2179,65.5,58.08,70.58,68.83,3,1,3,0,0.589
South Africa,West Indies,"West Indies, elected to field first",day,West Indies,Ramnaresh Sarwan,5 wickets,The Oval,"Sep 18, 2004",ODI # 2178,53,68.29,68.45,78.64,3,1,3,0,2.1
England,Sri Lanka,"Sri Lanka, elected to field first",day,England,Andrew Flintoff,49 runs,Southampton,"Sep 17, 2004",ODI # 2177,66.73,60.82,70.45,70.09,3,0,3,1,1.384
Australia,New Zealand,"Australia, elected to field first",day,Australia,Andrew Symonds,7 wickets,The Oval,"Sep 16, 2004",ODI # 2176,52.08,56.42,63.17,58.25,3,0,3,1,2.44
Bangladesh,West Indies,"Bangladesh, elected to field first",day,West Indies,Chris Gayle,138 runs,Southampton,"Sep 15, 2004",ODI # 2175,95.83,68.57,94,80.5,2,0,3,0,0
Sri Lanka,Zimbabwe,"Sri Lanka, elected to field first",day,Sri Lanka,Elton Chigumbura,4 wickets,The Oval,"Sep 14, 2004",ODI # 2173,61.18,88.27,71.09,97.09,3,1,3,0,4.5
Kenya,Pakistan,"Pakistan, elected to field first",day,Pakistan,Shahid Afridi,7 wickets,Birmingham,"Sep 14, 2004",ODI # 2174,100.33,57.58,96.33,69.08,2,0,3,0,0
Australia,U.S.A.,"Australia, elected to field first",day,Australia,Michael Kasprowicz,9 wickets,Southampton,"Sep 13, 2004",ODI # 2172,52.25,101,63.08,101,3,0,0,0,0
Bangladesh,South Africa,"Bangladesh, elected to bat first",day,South Africa,Charl Langeveldt,9 wickets,Birmingham,"Sep 12, 2004",ODI # 2171,95.25,53.45,93.92,70.55,2,0,3,1,0
India,Kenya,"Kenya, elected to field first",day,India,Sourav Ganguly,98 runs,Southampton,"Sep 11, 2004",ODI # 2170,65.25,99.67,70.58,96.42,3,1,2,0,5
England,Zimbabwe,"Zimbabwe, elected to field first",day,England,Paul Collingwood,152 runs,Birmingham,"Sep 10, 2004",ODI # 2168,67.36,89.18,71.18,96.82,3,0,3,0,2
New Zealand,U.S.A.,"United States of America, elected to field first",day,New Zealand,Nathan Astle,210 runs,The Oval,"Sep 10, 2004",ODI # 2169,57.25,101,58.17,101,3,1,0,0,2
Australia,West Indies,"West Indies, elected to bat first",daynight,Australia,"Shane Watson
",8 wickets,Brabourne,"Nov 5, 2006",ODI # 2443,59.58,64.21,59.67,65.21,4,0,4,1,0.91
South Africa,West Indies,"South Africa, elected to bat first",daynight,West Indies,Chris Gayle,6 wickets,Jaipur,"Nov 2, 2006",ODI # 2442,62.43,64.14,68.14,66.36,4,1,4,1,2.363
Australia,New Zealand,"New Zealand, elected to field first",daynight,Australia,Glenn McGrath,34 runs,Mohali,"Nov 1, 2006",ODI # 2441,59.25,66.62,59.5,64.23,4,0,4,1,2.592
India,Australia,"India, elected to bat first",daynight,Australia,Damien Martyn,6 wickets,Mohali,"Oct 29, 2006",ODI # 2440,63.67,60.25,74.67,59.08,4,1,4,0,0.54
England,West Indies,"West Indies, elected to bat first",daynight,England,Chris Gayle,3 wickets,Ahmedabad,"Oct 28, 2006",ODI # 2439,68.25,65.07,70,66.5,4,0,4,1,2.625
Pakistan,South Africa,"South Africa, elected to bat first",daynight,South Africa,Makhaya Ntini,124 runs,Mohali,"Oct 27, 2006",ODI # 2438,72.08,61.93,69.58,68.71,4,0,4,1,0.464
India,West Indies,"West Indies, elected to field first",daynight,West Indies,Shivnarine Chanderpaul,3 wickets,Ahmedabad,"Oct 26, 2006",ODI # 2437,64,65.14,74.33,66.64,4,1,4,1,0.627
New Zealand,Pakistan,"Pakistan, elected to field first",daynight,New Zealand,Stephen Fleming,51 runs,Mohali,"Oct 25, 2006",ODI # 2436,66.31,72.25,63.85,70.17,4,1,4,0,0.595
South Africa,Sri Lanka,"Sri Lanka, elected to field first",daynight,South Africa,Shaun Pollock,78 runs,Ahmedabad,"Oct 24, 2006",ODI # 2435,62.5,68.15,68.57,72.54,4,1,4,1,0.952
Australia,England,"Australia, elected to field first",daynight,Australia,Damien Martyn,6 wickets,Jaipur,"Oct 21, 2006",ODI # 2434,60.75,68.83,60.25,70.25,4,0,4,0,1.382
New Zealand,Sri Lanka,"New Zealand, elected to bat first",daynight,Sri Lanka,Stephen Fleming,7 wickets,Brabourne,"Oct 20, 2006",ODI # 2433,65.62,68.92,64.31,73.77,4,1,4,1,1.28
Australia,West Indies,"West Indies, elected to bat first",daynight,West Indies,Runako Morton,10 runs,Brabourne,"Oct 18, 2006",ODI # 2432,60,65.86,60.08,67.21,4,0,4,1,0.91
Pakistan,Sri Lanka,"Sri Lanka, elected to bat first",daynight,Pakistan,Abdul Razzaq,4 wickets,Jaipur,"Oct 17, 2006",ODI # 2431,72.75,69.08,70.92,73.85,4,0,4,1,1.684
New Zealand,South Africa,"South Africa, elected to field first",daynight,New Zealand,Stephen Fleming,87 runs,Brabourne,"Oct 16, 2006",ODI # 2430,65.54,62,64.85,68.86,4,1,4,1,0.518
India,England,"India, elected to field first",daynight,India,Munaf Patel,4 wickets,Jaipur,"Oct 15, 2006",ODI # 2429,63.33,68.58,75.13,70.5,4,1,4,0,1.115
Sri Lanka,West Indies,"West Indies, elected to bat first",daynight,Sri Lanka,Farveez Maharoof,9 wickets,Brabourne,"Oct 14, 2006",ODI # 2428,69,65.79,75.31,66.64,4,1,4,1,0.66
Bangladesh,Zimbabwe,"Zimbabwe, elected to field first",daynight,Bangladesh,Shahriar Nafees,101 runs,Jaipur,"Oct 13, 2006",ODI # 2427,87.38,89.08,88.77,88.58,3,0,4,0,0.352
Bangladesh,West Indies,"Bangladesh, elected to bat first",daynight,West Indies,Chris Gayle,10 wickets,Jaipur,"Oct 11, 2006",ODI # 2426,87.77,65.79,88.69,68.64,3,0,4,1,0
Sri Lanka,Zimbabwe,"Sri Lanka, elected to bat first",daynight,Sri Lanka,Upul Tharanga,144 runs,Ahmedabad,"Oct 10, 2006",ODI # 2425,69.08,89,76,88.17,4,1,4,0,4.833
West Indies,Zimbabwe,"Zimbabwe, elected to bat first",daynight,West Indies,Chris Gayle,9 wickets,Ahmedabad,"Oct 8, 2006",ODI # 2424,66.14,87.92,68.93,87.75,4,1,4,0,3.142
Bangladesh,Sri Lanka,"Bangladesh, elected to field first",daynight,Sri Lanka,Upul Tharanga,37 runs,Mohali,"Oct 7, 2006",ODI # 2423,88,69.85,88.85,76.23,3,0,4,1,0.062
Australia,New Zealand,"New Zealand, elected to bat first",daynight,Australia,Shane Watson,6 wickets,Centurion,"Oct 5, 2009",ODI # 2907,80.27,82.6,73.93,75.67,5,1,5,1,2.5
New Zealand,Pakistan,"Pakistan, elected to bat first",daynight,New Zealand,Daniel Vettori,5 wickets,Johannesburg,"Oct 3, 2009",ODI # 2906,84,76.13,75.53,67.67,5,1,5,0,0.617
Australia,England,"England, elected to bat first",daynight,Australia,Shane Watson,9 wickets,Centurion,"Oct 2, 2009",ODI # 2905,80.6,79.87,74.2,80.33,5,1,5,0,1.526
India,West Indies,"India, elected to field first",daynight,India,Virat Kohli,7 wickets,Johannesburg,"Sep 30, 2009",ODI # 2904,73.93,101,82.47,97.6,5,1,5,1,0.685
